Cluster,Year,Renewable_Share_mean,Renewable_Share_median,Energy_Generation_mean,Energy_Generation_median,Tourism_Aggregated_Arrivals_mean,Tourism_Aggregated_Arrivals_median,Calculated_Population_mean,Calculated_Population_median,Total_Human_Load_mean,Total_Human_Load_median,Tourist_Spatial_Density_mean,Tourist_Spatial_Density_median,Energy_Density_MWh_KM2_mean,Energy_Density_MWh_KM2_median
5,2004,48.82,48.82,109.1,109.1,98000.0,98000.0,17459.0,17459.0,115459.0,115459.0,34.616743200282585,34.616743200282585,38.5376192158248,38.5376192158248
5,2005,48.89,48.89,113.3,113.3,102000.0,102000.0,17527.0,17527.0,119527.0,119527.0,36.02967149417167,36.02967149417167,40.02119392440834,40.02119392440834
5,2006,45.96,45.96,112.5,112.5,116000.0,116000.0,17596.0,17596.0,133596.0,133596.0,40.97492052278347,40.97492052278347,39.73860826563052,39.73860826563052
5,2007,43.18,43.18,119.6,119.6,122000.0,122000.0,17692.0,17692.0,139692.0,139692.0,43.0943129636171,43.0943129636171,42.24655598728364,42.24655598728364
5,2008,45.0,45.0,109.9,109.9,122000.0,122000.0,17820.0,17820.0,139820.0,139820.0,43.0943129636171,43.0943129636171,38.82020487460262,38.82020487460262
5,2009,43.17,43.17,107.8,107.8,129000.0,129000.0,17952.0,17952.0,146952.0,146952.0,45.566937477923,45.566937477923,38.07841752031084,38.07841752031084
5,2010,41.93,41.93,111.8,111.8,130000.0,130000.0,18093.0,18093.0,148093.0,148093.0,45.92016955139527,45.92016955139527,39.49134581419993,39.49134581419993
5,2011,40.64,40.64,109.5,109.5,128000.0,128000.0,18251.0,18251.0,146251.0,146251.0,45.21370540445072,45.21370540445072,38.67891204521371,38.67891204521371
5,2012,40.21,40.21,112.9,112.9,135000.0,135000.0,18419.0,18419.0,153419.0,153419.0,47.68632991875662,47.68632991875662,39.87990109501943,39.87990109501943
5,2013,42.7,42.7,118.8,118.8,125000.0,125000.0,18585.0,18585.0,143585.0,143585.0,44.15400918403391,44.15400918403391,41.96397032850583,41.96397032850583
5,2014,41.43,41.43,128.7,128.7,131800.0,131800.0,18750.0,18750.0,150550.0,150550.0,46.55598728364536,46.55598728364536,45.46096785588131,45.46096785588131
5,2015,37.06,37.06,137.0,137.0,139000.0,139000.0,18913.0,18913.0,157913.0,157913.0,49.09925821264571,49.09925821264571,48.39279406570117,48.39279406570117
5,2016,36.78,36.78,148.0,148.0,146000.0,146000.0,19074.0,19074.0,165074.0,165074.0,51.57188272695161,51.57188272695161,52.27834687389615,52.27834687389615
5,2017,35.23,35.23,153.7,153.7,157000.0,157000.0,19253.0,19253.0,176253.0,176253.0,55.457435535146594,55.457435535146594,54.2917696926881,54.2917696926881
5,2018,35.58,35.58,160.9,160.9,172000.0,172000.0,19457.0,19457.0,191457.0,191457.0,60.75591663723066,60.75591663723066,56.83504062168845,56.83504062168845
5,2019,33.75,33.75,170.5,170.5,180600.0,180600.0,19663.0,19663.0,200263.0,200263.0,63.79371246909219,63.79371246909219,60.22606852702226,60.22606852702226
